eco,opening,moves,result,white,black,date,elo_opp,color
A46,Unknown,77,1-0,Hikaru,anasta10,2026.01.01,2715,white
B22,Unknown,86,1-0,Germanovs_Georgijs,Hikaru,2026.01.01,2917,white
B13,Unknown,55,1-0,Hikaru,Sam_ChessMood,2026.01.01,3050,white
C65,Unknown,47,*,lachesisQ,Hikaru,2026.01.01,3117,white
E14,Unknown,93,1-0,Hikaru,vi_pranav,2026.01.01,3142,white
A46,Unknown,72,1/2-1/2,Hikaru,MITerryble,2026.01.01,3188,white
B30,Unknown,110,1-0,Zhuu96,Hikaru,2026.01.01,3099,white
D12,Unknown,78,0-1,Hikaru,artin10862,2026.01.01,3172,white
A48,Unknown,84,0-1,Hikaru,hansen,2026.01.01,3060,white
B32,Unknown,90,1-0,FGHSMN,Hikaru,2026.01.01,3016,white
B22,Unknown,98,1-0,MatthewG-p4p,Hikaru,2026.01.01,3050,white
B06,Unknown,68,1-0,HSH1987,Hikaru,2026.01.01,2806,white
A48,Unknown,129,1-0,Hikaru,HSH1987,2026.01.01,2805,white
B06,Unknown,136,1-0,HSH1987,Hikaru,2026.01.01,2804,white
A48,Unknown,63,1-0,Hikaru,HSH1987,2026.01.01,2803,white
B07,Unknown,34,1-0,HSH1987,Hikaru,2026.01.01,2802,white
A01,Unknown,95,1-0,Hikaru,HSH1987,2026.01.01,2801,white
B08,Unknown,40,1-0,HSH1987,Hikaru,2026.01.01,2800,white
A48,Unknown,53,1-0,Hikaru,HSH1987,2026.01.01,2799,white
B08,Unknown,50,1-0,HSH1987,Hikaru,2026.01.01,2798,white
B06,Unknown,90,1-0,vfejnhbev,Hikaru,2026.01.01,2822,white
B06,Unknown,66,1-0,GensUnaSumus,Hikaru,2026.01.01,2805,white
A48,Unknown,103,1-0,Hikaru,GensUnaSumus,2026.01.01,2804,white
A04,Unknown,49,1-0,Hikaru,bazar-wokzal,2026.01.01,2714,white
D02,Unknown,94,1-0,Byniolus,Hikaru,2026.01.01,2951,white
A05,Unknown,89,1-0,Hikaru,yaghi31,2026.01.01,3044,white
B23,Unknown,86,1-0,artin10862,Hikaru,2026.01.01,3172,white
A20,Unknown,118,0-1,Jospem,Hikaru,2026.01.01,3194,white
B22,Unknown,199,1-0,Hikaru,FabianoCaruana,2026.01.01,3161,white
B31,Unknown,64,1-0,jefferyx,Hikaru,2026.01.01,3200,white
A07,Unknown,100,1-0,yosephtaher,Hikaru,2026.01.01,3161,white
A09,Unknown,51,1-0,Hikaru,BogdanDeac,2026.01.01,3208,white
D35,Unknown,69,1-0,Hikaru,hansen,2026.01.01,3076,white
C66,Unknown,136,1-0,MITerryble,Hikaru,2026.01.01,3150,white
A04,Unknown,107,1-0,Hikaru,Baratheont,2026.01.03,2525,white
C25,Unknown,59,0-1,gurelediz,Hikaru,2026.01.03,3350,white
A15,Unknown,72,1-0,Ind1anStar,Hikaru,2026.01.03,2692,white
B00,Unknown,101,1-0,Hikaru,WindWhistler11,2026.01.03,2701,white
B06,Unknown,46,1-0,MVM2008,Hikaru,2026.01.03,2738,white
A46,Unknown,86,1-0,wonderfultime,Hikaru,2026.01.03,3164,white
B06,Unknown,163,0-1,amintabatabaei,Hikaru,2026.01.03,3111,white
B10,Unknown,145,1-0,Hikaru,MatyChess1,2026.01.03,2731,white
B01,Unknown,55,1-0,Hikaru,elpeordelosmejores,2026.01.03,2677,white
B23,Unknown,78,1/2-1/2,Hikaru,Zhigalko_Sergei,2026.01.03,3104,white
B06,Unknown,60,1-0,BeneCyrill,Hikaru,2026.01.03,2676,white
B00,Unknown,145,1-0,Hikaru,KNVB,2026.01.03,3042,white
A04,Unknown,92,1-0,RaunakSadhwani2005,Hikaru,2026.01.03,3184,white
D30,Unknown,81,1-0,Hikaru,only_strong_moves,2026.01.03,2891,white
D05,Unknown,85,1-0,Hikaru,Konavets,2026.01.03,3171,white
B06,Unknown,50,1-0,wonderfultime,Hikaru,2026.01.03,3148,white
A46,Unknown,77,1-0,Hikaru,anasta10,2026.01.01,2715,black
B22,Unknown,86,1-0,Germanovs_Georgijs,Hikaru,2026.01.01,2917,black
B13,Unknown,55,1-0,Hikaru,Sam_ChessMood,2026.01.01,3050,black
C65,Unknown,47,*,lachesisQ,Hikaru,2026.01.01,3117,black
E14,Unknown,93,1-0,Hikaru,vi_pranav,2026.01.01,3142,black
A46,Unknown,72,1/2-1/2,Hikaru,MITerryble,2026.01.01,3188,black
B30,Unknown,110,1-0,Zhuu96,Hikaru,2026.01.01,3099,black
D12,Unknown,78,0-1,Hikaru,artin10862,2026.01.01,3172,black
A48,Unknown,84,0-1,Hikaru,hansen,2026.01.01,3060,black
B32,Unknown,90,1-0,FGHSMN,Hikaru,2026.01.01,3016,black
B22,Unknown,98,1-0,MatthewG-p4p,Hikaru,2026.01.01,3050,black
B06,Unknown,68,1-0,HSH1987,Hikaru,2026.01.01,2806,black
A48,Unknown,129,1-0,Hikaru,HSH1987,2026.01.01,2805,black
B06,Unknown,136,1-0,HSH1987,Hikaru,2026.01.01,2804,black
A48,Unknown,63,1-0,Hikaru,HSH1987,2026.01.01,2803,black
B07,Unknown,34,1-0,HSH1987,Hikaru,2026.01.01,2802,black
A01,Unknown,95,1-0,Hikaru,HSH1987,2026.01.01,2801,black
B08,Unknown,40,1-0,HSH1987,Hikaru,2026.01.01,2800,black
A48,Unknown,53,1-0,Hikaru,HSH1987,2026.01.01,2799,black
B08,Unknown,50,1-0,HSH1987,Hikaru,2026.01.01,2798,black
B06,Unknown,90,1-0,vfejnhbev,Hikaru,2026.01.01,2822,black
B06,Unknown,66,1-0,GensUnaSumus,Hikaru,2026.01.01,2805,black
A48,Unknown,103,1-0,Hikaru,GensUnaSumus,2026.01.01,2804,black
A04,Unknown,49,1-0,Hikaru,bazar-wokzal,2026.01.01,2714,black
D02,Unknown,94,1-0,Byniolus,Hikaru,2026.01.01,2951,black
A05,Unknown,89,1-0,Hikaru,yaghi31,2026.01.01,3044,black
B23,Unknown,86,1-0,artin10862,Hikaru,2026.01.01,3172,black
A20,Unknown,118,0-1,Jospem,Hikaru,2026.01.01,3194,black
B22,Unknown,199,1-0,Hikaru,FabianoCaruana,2026.01.01,3161,black
B31,Unknown,64,1-0,jefferyx,Hikaru,2026.01.01,3200,black
A07,Unknown,100,1-0,yosephtaher,Hikaru,2026.01.01,3161,black
A09,Unknown,51,1-0,Hikaru,BogdanDeac,2026.01.01,3208,black
D35,Unknown,69,1-0,Hikaru,hansen,2026.01.01,3076,black
C66,Unknown,136,1-0,MITerryble,Hikaru,2026.01.01,3150,black
A04,Unknown,107,1-0,Hikaru,Baratheont,2026.01.03,2525,black
C25,Unknown,59,0-1,gurelediz,Hikaru,2026.01.03,3350,black
A15,Unknown,72,1-0,Ind1anStar,Hikaru,2026.01.03,2692,black
B00,Unknown,101,1-0,Hikaru,WindWhistler11,2026.01.03,2701,black
B06,Unknown,46,1-0,MVM2008,Hikaru,2026.01.03,2738,black
A46,Unknown,86,1-0,wonderfultime,Hikaru,2026.01.03,3164,black
B06,Unknown,163,0-1,amintabatabaei,Hikaru,2026.01.03,3111,black
B10,Unknown,145,1-0,Hikaru,MatyChess1,2026.01.03,2731,black
B01,Unknown,55,1-0,Hikaru,elpeordelosmejores,2026.01.03,2677,black
B23,Unknown,78,1/2-1/2,Hikaru,Zhigalko_Sergei,2026.01.03,3104,black
B06,Unknown,60,1-0,BeneCyrill,Hikaru,2026.01.03,2676,black
B00,Unknown,145,1-0,Hikaru,KNVB,2026.01.03,3042,black
A04,Unknown,92,1-0,RaunakSadhwani2005,Hikaru,2026.01.03,3184,black
D30,Unknown,81,1-0,Hikaru,only_strong_moves,2026.01.03,2891,black
D05,Unknown,85,1-0,Hikaru,Konavets,2026.01.03,3171,black
B06,Unknown,50,1-0,wonderfultime,Hikaru,2026.01.03,3148,black
